,title,userName,date,developerResponse,rating,review,isEdited
106,Bad service and always delays,Muhamedkassem,2022-03-15 15:45:56,"{'id': 28627193, 'body': 'Hello, we are very sorry for the inconvenience, kindly help us with your order number or registered mobile number to our email id: care@namshi.com and we will look into this.', 'modified': '2022-03-17T11:56:37Z'}",1,"I have shipment for more than 40 days but no one of them cares and by craziness ordered another one and same issue more than 12 days 
Bad experience ever",False
107,Good experience,Asmaamohd,2021-01-06 15:06:47,"{'id': 20208709, 'body': 'We are so obliged by your 5-star review. Thanks for sharing your rating with us and the community.', 'modified': '2021-01-06T15:06:47Z'}",5,10/10,True
108,No discount for special customer,Ẓᾄἷᾗᾄв ᾄłќђᾄłἷғᾄђ,2019-02-02 09:13:37,"{'id': 7131371, 'body': 'Hey,   We will request you to please subscribe to our newsletter, to receive daily updates on discount codes, arrivals of new products and many more. :)', 'modified': '2019-02-02T23:37:55Z'}",3,I have been a customer for a long time.l ordered many times and no special discount for me .,False
109,Worst service ever.,Tino Emmanuel,2021-12-13 10:55:56,"{'id': 2800519, 'body': ""We would like to inform you that Namshi provides 100% authentic products with prices that match the local market not to mention the free delivery service and replacement within 14 days and that our stock depends on the original Manufacturer of the brand itself and can't be availed again unless the company manufactured the item again.  Thanks,"", 'modified': '2021-12-13T10:55:56Z'}",1,This is my third experience with them. Very bad service and poor quality items. I feel petty to the people who wrote positive comments about them.,True
110,Worst shopping app,Naif19,2021-09-08 22:10:16,"{'id': 25014259, 'body': ""Hello, we are extremely sorry about the shopping experience you've had with us. We assure you that this isn't the experience we intend to provide. can you please contact us on care@namshi.com and will do our best to assist you , Thanks\r\n"", 'modified': '2021-09-10T03:13:48Z'}",1,"They took 2 weeks to process my order only!! I don’t know how much time to ship it, a month or 2 !! They are the worst! Never order again",False
111,One of the best app,Saber Ezio,2018-04-10 12:18:04,"{'id': 3094629, 'body': 'Appreciate your kind words and we hope to see again :)', 'modified': '2018-04-10T23:42:36Z'}",5,"Easy to use, good prices and fast delivery.. thanks",False
112,No beauty section?,Fatemah Blue,2020-06-09 03:50:13,"{'id': 15879219, 'body': ""Hi, we are sorry that you're having issues with the app. Can you write to us at https://bit.ly/2ICETmY. and include a description of the issue you are facing, your IOS version, and your app version. We will investigate immediately & solve the issue."", 'modified': '2020-06-09T15:13:37Z'}",2,"The app is good and all but recently the beauty section is messed up, if i chose any brand its says that there’s nothing. Can you play fix the problem?",False
113,Excellent,hhhgjftr,2022-10-17 16:35:22,"{'id': 22042004, 'body': 'Thank you so much for your valuable feedback and the 5-star rating🌹\r\n', 'modified': '2022-10-17T16:35:23Z'}",5,Fast delivery Great customer service,True
114,NAMSHI,Yoofi80,2019-06-30 19:48:42,,5,"Love this application it’s easy and well organized.
Thank you",False
115,Too many emails,ali_the_beast,2022-06-20 01:25:03,"{'id': 30472038, 'body': 'Hello, Please accept our apologies for any inconvenience , Kindly contact us through ( care@namshi.com ) to assist you in the best way possible , Have a blessed day 🌹\r\n', 'modified': '2022-06-21T07:55:58Z'}",1,"Once you sign up, expect minimum 2 emails per day. Tried to unsubscribe but it didn’t work. Ended up blocking the whole thing .",False
116,Bad return,Ruby_ali12,2019-09-18 07:17:03,"{'id': 10807054, 'body': 'Hey Ruby, We are really sorry you feel this way. Please tell us more about your experience at https://bit.ly/2ICETmY, and we will help you in the best possible manner. Thanks,', 'modified': '2019-09-21T10:34:43Z'}",1,This is really bad experience of returning! I’ve requested to return items but no other info after that. I didn’t receive any contact to take the items ! And it’s still with me !,False
117,Happy MrsT,Happy MrsT,2020-06-27 09:59:13,,5,"Always really happy with service , delivery and products",False
118,Slow,Ashq8_1964,2021-12-08 12:14:15,"{'id': 26745812, 'body': 'Hello, we are very sorry for the inconvenience, kindly help us with your order number or registered mobile number to our email id: care@namshi.com and we will look into this. thanks ', 'modified': '2021-12-09T23:05:01Z'}",3,Delivery is slooooooooowwww!!! My order from Black Friday is still being processed.,False
119,Need to improve,zainah 😎,2022-07-13 22:39:40,"{'id': 30910018, 'body': 'Hello, thank you for the rating, we are very sorry for the inconvenience, kindly get in touch with us to our email id: care@namshi.com and we will look into this. Thanks\r\n', 'modified': '2022-07-15T12:03:16Z'}",2,We need to see the size details in each clothes,False
120,Too expensive,لعييييييب,2018-11-30 23:59:28,,4,Must be reasonable with the price.,False
121,Do not recommend,gfgjgfghv,2021-12-25 23:18:56,"{'id': 27062259, 'body': 'Hello, Please accept our apologies for any inconvenience , Kindly contact us through ( care@namshi.com ) to assist you in the best way possible , Have a blessed day 🌹', 'modified': '2021-12-27T03:04:33Z'}",1,"App is user friendly, however terrible customer service! Never respond to emails.",False
122,Excellent app,abu fida,2019-11-12 10:36:22,,5,I like this app I highly recommended,False
123,My feedback,Amal Mreheen,2019-07-18 08:37:14,"{'id': 9762160, 'body': 'Thank you, Your feedback means a lot to us :)\r\n', 'modified': '2019-07-21T00:06:13Z'}",5,Your service is Great!😍,False
124,Original,iOodz,2019-02-12 14:30:07,"{'id': 7267890, 'body': 'Thank you for your positive feedback!', 'modified': '2019-02-13T00:37:38Z'}",5,Good quality products. Pro shipping .  My fav app.,False
125,Review,Aljohara143,2020-11-22 22:51:46,"{'id': 19915340, 'body': 'We are incredibly grateful that you took the time out to leave us a 5-Star review.', 'modified': '2020-12-22T01:40:19Z'}",5,Such a good quality and it’s deliver quickly !,False
126,The app is TOO SLOW and gets stuck,fatmafairooz,2019-02-12 05:46:54,"{'id': 7265561, 'body': 'Hello, We are sorry to hear that, you can reach out to our champs for any assistance on service@namshi.com or 971 800626744 and we will be more than happy to help you out.', 'modified': '2019-02-12T18:31:54Z'}",1,I had to relaunch its several times its so hard to use now! It takes forever to shop and open each page 😩,False
127,Doesn’t let you unsubscribe from spam mails,Zak MacKracken,2022-04-21 15:51:23,"{'id': 22955592, 'body': 'We are sorry that your experience did not match your expectations. we want the opportunity to further investigate your comment. Could you send us a request at:https://support.namshi.com/hc/en-us/articles/360000744617-Get-in-touch-Contact-US- we will work with you to resolve any issues as quickly as possible.', 'modified': '2022-04-21T15:51:23Z'}",1,“Contact customer support to unsubscribe from newsletter”? I’ve reported Namshi as a source of junk mail spam to Gmail etc.,True
128,App freeze,Reema_N_H,2018-10-28 20:38:48,"{'id': 5716254, 'body': 'Hey Reema, Thank you for highlighting this issue we will check with our tech team to solve the issue with the new version. Thanks,', 'modified': '2018-10-29T23:35:20Z'}",2,The app keeps freezing while I’m browsing. I tried deleting and re-downloading it but it still happens. Please fix it.,False
129,Thank you so much,ma yyy,2018-05-05 20:55:41,"{'id': 3456656, 'body': 'Bigggggggg Thank you to you too :)', 'modified': '2018-05-14T09:27:52Z'}",5,Thank you,False
130,Namshi,Namshi24,2018-01-25 23:09:04,,5,Namshi is a very beautiful app but i which there are more brands like gucci and so,False
131,Best ever,niiruIshuu,2019-11-11 11:20:30,,5,"Too easy to choice, and quality 100% genuine 
And trustable 
I love namshi",False
132,"It’s great shopping with NAMSHI thanks and fast delivery 👍,nice quality 👌🏻👌🏻",Rahoobbbb,2021-07-10 21:04:01,"{'id': 23868327, 'body': 'مرحبا ً,Rahoobbbb  نحن سعداء للغاية حيث اننا قد نلنا إعجابكم ونتمنى ان نكون عند حسن ظنك دائما ً.\r\n', 'modified': '2021-07-12T02:40:01Z'}",5,Thanks,False
133,Nice,Llllamma,2019-07-02 23:35:49,,5,Easy to shopping and save,False
134,Nice App,khalifhus,2022-05-17 17:22:49,"{'id': 29830326, 'body': 'Hi, thank you for taking the time to leave your review. It’s great to hear that you enjoy shopping using our app! ', 'modified': '2022-05-19T00:32:43Z'}",5,Thank you for the swift processing & transaction,False
135,Expensive,Ranem138,2021-06-02 11:26:17,"{'id': 23196972, 'body': 'Hello, thank you for your valuable feedback. But kindly note that Namshi provides 100% original products at prices comparable to the local market,  we offer a free delivery service and exchanges/returns within 14 days. You can subscribe to Namshis newsletter to receive the best offers and discount vouchers.', 'modified': '2021-06-04T11:48:08Z'}",1,When I compare to other applications it’s turned out the highest app for paying clothes 👎🏻,False
136,Ads,King-_-3aMoR,2018-04-14 15:33:28,"{'id': 3136545, 'body': 'Thank you for the feedback and we will share your concern with our concerned team but we would suggest if you close the ADs by pressing the X button. Thanks,', 'modified': '2018-04-15T21:24:59Z'}",2,I hated this app because every time i try to watch something on the internet it brings me to the App Store to download this app! Screw it!!,False
137,The shopping price,Amina Toldjei,2021-09-24 20:00:14,"{'id': 25319249, 'body': 'Thank you for your time to write this review , we apologize for any inconvenience, please note that we follow a dynamic pricing system that uses different bases and variables, according to which the prices of products are set, knowing that at Namshi we work to provide products from international brands with high quality, at competitive prices that are suitable for the local market, you can follow the application for different offers, for any inquiry you can kindly contact us at (care@namshi.com) and we will be glad to assist you further , have a good day :)  \u200e', 'modified': '2021-09-26T04:14:30Z'}",3,The shopping price is too high,False
138,Courier service terrible,DXB 68,2020-09-04 03:17:46,"{'id': 17737103, 'body': 'Dear, thanks for sharing your feedback. We’re sorry your experience didn’t match your expectations. It was an uncommon instance and we’ll do better. We would like the opportunity to investigate your feedback further. Could you please email us at care@namshi.com  We’ll work with you to resolve any issues as quickly as possible.”', 'modified': '2020-09-07T12:40:42Z'}",1,NAMSHI itself is ok but the couriers are rude they never call and just turn up at your home when you are not there. Stops me using NAMSHI,False
139,Refund issues,HanadiSalih,2022-10-16 17:23:44,"{'id': 32641968, 'body': 'Hello, we are very sorry for the inconvenience, kindly help us with your order number or registered mobile number to our email id: care@namshi.com and we will look into this. Thanks ', 'modified': '2022-10-18T10:39:09Z'}",1,The refund takes along time i hate it,False
140,.,mamamiapaparonepizzass,2020-06-15 11:19:20,"{'id': 16039882, 'body': 'Hello, All of our products are 100% authentic and high quality, we do not import products except from certified suppliers in the region. Thank you :)', 'modified': '2020-06-17T08:41:42Z'}",4,the products are original?,False
141,ZERO,M. Al-Emadi,2021-04-06 09:05:49,,1,You managed to ruin my apps with your stupid ads. You dont have the decency to add a close ad button so i can go back to the app.,False
142,NAMSHI review,farah1822,2020-04-23 19:54:29,"{'id': 15022959, 'body': 'Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping!', 'modified': '2020-04-30T21:34:41Z'}",5,A great online store amazing service and amazing clothing delivery is so fast and amazing,False
143,Slow,Azi89,2018-12-05 10:48:04,"{'id': 6536203, 'body': 'Hello, We deeply apologize for the inconvenienced caused, please share your order number and we will get back to you right away. Thank you', 'modified': '2018-12-24T22:27:00Z'}",1,"App will freeze if many items in cart.
I stopped shopping from Namshi because of this issue",False
144,Why would this app force you to install it,Abkhan50,2018-06-05 07:32:38,"{'id': 3734919, 'body': 'Hello, We are sorry to hear that, can you please help us to know the issue that you are facing, We will be more happy to assist you, Thanks.', 'modified': '2018-06-06T01:23:52Z'}",1,I dont want it and this is worst way to get someone download your app. This is no way to make customers,False
145,All my love for you NMSHI,miawcat,2019-06-27 18:49:36,,5,Thank you for all your lovely fashion,False
146,They don’t ship to USA,farah1234567,2018-05-09 17:09:07,"{'id': 3456163, 'body': 'Hello there, we regret to inform you global/international shipping not available yet through Namshi application. However, we advise you to use Namshi.com through Google Chrome browser. Thank you', 'modified': '2018-05-14T09:06:55Z'}",1,Since they started to ship to USA “supposed” when I checkout it doesn’t give me the option to USA at all.. can’t shop! I would love to but they say they ship to USA but they don’t.,False
147,.,tctftfyftft,2022-05-24 23:59:08,"{'id': 29984159, 'body': 'Hello, we are very sorry for the inconvenience, kindly help us with your registered mobile number to our email id: care@namshi.com and we will look into this. Thanks ', 'modified': '2022-05-26T12:03:47Z'}",1,Using it as a first time user does not let me take my 30% off for being first time user.,False
148,Best shopping app,fashionmongee,2021-11-24 07:13:47,"{'id': 26475170, 'body': 'Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! 🌹\r\n', 'modified': '2021-11-25T12:32:50Z'}",5,Great team and great responding,False
149,Amazing App,Heba Khalifa,2021-05-02 20:25:05,"{'id': 22822654, 'body': 'Thank you so much for this 5-star review. We really cherish you being a customer and helping to share the word about us. We’re here for you anytime.', 'modified': '2021-05-15T15:03:37Z'}",5,Amazing app and high quality,False
150,The best application for shopping,reem_kuwait,2018-08-05 00:11:49,"{'id': 4548926, 'body': 'We deeply value your relationship with us and thank you for showing so much Love. Hope to see you again. Happy Shopping!', 'modified': '2018-08-07T01:04:20Z'}",5,"NAMSHI is the best always and I love this application. 

Reem from Kuwait",False
151,The best shopping app 👍🏻,Om 7amoody,2020-09-29 14:45:32,"{'id': 18870076, 'body': 'هلا وغلا , إن تقيمك لنا ب 5 نجوم هو أفضل شيء يمكن أن نأمله 😍 و رأيك يعني الكثير بالنسبة لنا , شكرا لإختيارك  نمشي و نتطلع إلى خدمتك لسنوات عديدة قادمة 😍', 'modified': '2020-11-03T09:49:16Z'}",5,Fast delivery accurate trusted. I really like it. أحسن موقع للتسوق خدمه سريعه وبضاعه أصليه . شكراً نمشي 🌷,False
152,Wishlist Glitch,Bea5701,2017-09-21 04:31:37,,3,App shuts down when I try to open my wishlist.,False
153,STOLE MY MONEY,stolemymoney123,2020-10-07 02:37:36,"{'id': 18340541, 'body': 'Hello, Thank you for taking the time to rate us. We are sorry to hear your order was not processed, we would like to look into your feedback, please help us out with the order by emailing at care@namshi.com and one of our team members will reach out to you at the earliest. ', 'modified': '2020-10-08T06:48:57Z'}",1,"DO NOT DOWNLOAD. 
I ordered over $100 worth of clothes and got an email that said “order cannot be processed”. They still took my money and now I’m gonna have to make a fraud claim with my bank.",False
154,Return,MONIRA99,2019-10-13 16:18:01,"{'id': 11234613, 'body': 'Hello, We’re extremely sorry that you had a bad experience with us. Would you mind sharing your order number and we will reach out to you asap. Thanks.', 'modified': '2019-10-14T10:59:04Z'}",1,Order a return and still not getting my money back,False
155,Good,ابو عبدالله 2011,2019-11-20 09:07:09,,5,Thankyou for easy use,False
156,NAMSHI,FHK-19.5,2018-06-05 01:35:33,,5,"NAMSHI is one of my best online shopping app I’ve seen amazing products in it.
I love NAMSHI ❤️",False
157,Worst shopping app ever,toma1234567890,2018-06-16 12:24:17,,1,"They won’t return your money when you cancel your orders, and they don’t mention that the product is out of stuck

لن يرجعوا النقود لك وبيكنسلوا الأشياء عشناها خالصة وهم مش كاتبين انها خالصه اذا جئت بتشتريها",False
158,I love,‏الحبابي,2018-04-01 14:58:11,"{'id': 3007299, 'body': 'Your welcome :)', 'modified': '2018-04-02T23:09:34Z'}",5,Thank you,False
159,Scam,Aa112187,2019-11-12 16:12:58,"{'id': 11924217, 'body': 'Hello, We’re extremely sorry that you had a bad experience with us. Would you mind sharing your order number, and we will reach out to you asap.\r\n\r\n', 'modified': '2019-11-19T07:27:51Z'}",1,"Ur buy one take one offer is a scam when u deliver u only give one item and the other is cancelled even it paid already,,this company is BIG SCAMMERRR",False
160,The best thing but not the best price,bo labga,2018-08-07 19:34:18,"{'id': 4584266, 'body': 'Thanks!!', 'modified': '2018-08-08T22:48:16Z'}",5,Like it,False
161,🖤,Raghad yousef,2017-11-17 13:16:43,,5,Nice and easy way,False
162,Best price Best brands,S.Ghaithi,2019-12-17 11:07:07,,5,Very nice very good quality,False
163,Return a product,uuuuuuuuuuuuioioi,2021-12-18 10:20:15,"{'id': 26922295, 'body': 'Hello, we are sorry that you had to face this issue, would you mind sharing your contact number on our email id: care@namshi.com and we will revert', 'modified': '2021-12-19T16:34:13Z'}",1,I can’t return products,False
164,My opinion,nourakh94,2018-11-21 05:28:09,"{'id': 6536107, 'body': 'Thanks ❤', 'modified': '2018-12-24T22:01:27Z'}",5,The best,False
165,Lack of product,a7-888,2019-09-02 21:46:45,"{'id': 10564134, 'body': 'Your appreciation matters a lot and motivates us to work even harder to make your shopping experience wonderful.\r\nHope to see you again and a big thanks for choosing Namshi. :)', 'modified': '2019-09-07T11:14:18Z'}",3,"Good app, but there is lack of some model.",False
166,Thanks,Rawaby..,2019-09-26 11:08:22,"{'id': 10944148, 'body': 'Appreciate your kind words and we hope to see again :)', 'modified': '2019-09-28T14:12:38Z'}",5,Great shopping app,False
167,First coupon not working,Hayoona 777,2022-08-28 01:56:23,"{'id': 31729304, 'body': 'Hello, we are very sorry for the inconvenience, kindly help us with your order number or registered mobile number to our email id: care@namshi.com and we will look into this.', 'modified': '2022-08-29T20:50:35Z'}",1,Your coupon FIRST isn’t working,False
168,My opinion,Manar Alzamil,2022-04-10 14:36:24,"{'id': 29109891, 'body': 'Hi, thank you for the awesome rating. We really appreciate it. See you soon 💛💛', 'modified': '2022-04-11T18:36:47Z'}",5,Namshi is the best🤩,False
169,Shamma Al Ali,Shamma Al Ali,2017-11-07 19:37:23,,5,"Amazing application for online shopping, Best services ever!",False
170,Dont order from them,appriviower,2022-02-23 07:48:28,"{'id': 28234354, 'body': 'Hello, Please accept our apologies for any inconvenience , Kindly contact us through ( care@namshi.com ) to assist you in the best way possible , Have a blessed day 🌹\r\n', 'modified': '2022-02-24T10:55:32Z'}",1,"Dont ever order from them, will be suffered",False
171,My order always canceled or not arrived,llalenll,2020-07-19 12:53:49,"{'id': 16900135, 'body': 'Hi, We are sorry to hear that, Can you please share us the order on this link: https://bit.ly/2ICETmY, so we can assist you faster and better. Thanks.\r\n', 'modified': '2020-07-27T12:43:32Z'}",1,Why always when I order they canceled my order or not arrived :(,False
172,I dont like it,its mars xxx,2022-06-21 12:14:49,"{'id': 30504288, 'body': 'Hello, Please accept our apologies for any inconvenience, Kindly contact us through ( care@namshi.com ) to assist you in the best way possible, Have a blessed day 🌹\r\n', 'modified': '2022-06-22T15:45:36Z'}",1,The worst website to shop,False
173,My review,m elmakki,2018-05-20 18:59:31,"{'id': 3544579, 'body': 'Hello, We deeply apologize for the inconvenienced caused, please share your order number and we will get back to you right away. Thank you', 'modified': '2018-05-21T18:51:56Z'}",2,"The order delivery is very slow to arrive,,thank you",False
174,Amazing offers,Mobeen Malik,2018-08-09 19:41:01,"{'id': 4613633, 'body': 'Thanks :)', 'modified': '2018-08-10T23:24:17Z'}",5,Great,False
175,A great apps,Abusedrah,2018-03-27 10:40:40,"{'id': 2951498, 'body': 'At Namshi we always try to give the best services to our customers. Thank you for being our valued customer.We look forward to serving you again. \nThank you :)""', 'modified': '2018-03-28T00:32:03Z'}",5,It’s a great apps for shopping..,False
176,Good but,M.A.H,2021-06-25 01:09:44,"{'id': 23597032, 'body': 'Hello, Please accept our apologies for any inconvenience you have experienced, Kindly contact us through (care@namshi.com) to assist you in the best way possible , Have a blessed day 🌹\r\n', 'modified': '2021-06-26T07:04:36Z'}",1,I should be able to unsubscribe by myself without contacting the support 🤷🏻‍♀️,False
177,Bad experience continues,T.S87,2019-12-29 20:00:49,"{'id': 12722023, 'body': 'Hi, we are sorry that you faced an issue. Could you please share your contact details with us on https://bit.ly/2ICETmY so that we can get in touch with you and resolve the issue.', 'modified': '2020-01-04T14:28:28Z'}",1,Worst service ever. My parcels are always late and still haven’t received a parcel from November!!!,False
178,Dishonest company,Mema12212112,2021-12-04 10:17:23,"{'id': 26653023, 'body': 'Hello, we are sorry to hear that and we apologize very much for the problem you encountered. Please note that we always strive to provide the best service to our valued customers. Please provide us with the order data and the problem you encountered via e-mail care@namshi.com and our specialized team will assist you to the fullest, Thanks\r\n', 'modified': '2021-12-05T21:58:42Z'}",1,Want your package to be lost and be lied to and get deceived then go ahead buy from namshi,False
179,Worst website ever,hessa_b9,2018-10-16 13:59:53,"{'id': 5588527, 'body': 'Hello, Please share us the order number to check and assist you. Thanks,', 'modified': '2018-10-21T01:02:41Z'}",1,It’s my first and last time ordering from NAMSHI because I ordered underwear and it’s suppose to be for women but it was for men,False
180,Good,adwa f,2017-11-18 09:24:30,,4,Best online shopping!!,False
181,My best,amalali 123,2018-06-05 20:43:33,"{'id': 3783002, 'body': 'تعليقك هو شرف لنا و نحن دائما بالخدمة و شكرا', 'modified': '2018-06-10T00:47:36Z'}",5,The best App for shopping,False
182,Too late delivering,az._.3ra2y,2022-01-09 19:07:59,"{'id': 27359913, 'body': 'Hello, We are extremely sorry to hear about your concern regarding your recent experience. This is certainly something we would want to deep dive into. Kindly share your contact number on our email id: care@namshi.com and we will get back to you shortly', 'modified': '2022-01-11T00:43:44Z'}",1,II have a order from 16 and until now it’s not delivered,False
183,Jordan,Nura Alsaaty,2017-10-24 08:52:00,,2,When it will be available in Jordan,False
184,NAMSHI,yazeed alassiry,2019-08-22 18:23:26,"{'id': 10515736, 'body': 'Hey Yazeed, due to the high number of orders the products will be out of stock. and if you add the item in the wishlist does mean you booked the product. we suggest you place the order at the same time to avoid the out of stock. Thanks.', 'modified': '2019-09-04T13:22:18Z'}",1,"The problem is that when I open namshi there’s update but there isn’t.

SECOND 
When I open it again all of the wishlist no thing before I put the favourite then tomorrow the favourites are all gone and the cart 🛒. 

Please fix my NAMSHI 
Plz 🙏🙏",False
185,Great app,Ajajoo 223,2018-04-20 13:31:16,"{'id': 3208694, 'body': 'Appreciate your kind words and we hope to see again :)', 'modified': '2018-04-21T09:37:43Z'}",5,Helpful and motivational,False
186,Awesome app,John Isac,2020-09-26 08:24:31,"{'id': 18209338, 'body': 'Seeing that you had a 5-Star experience is the best thing we could hope for! Your review means a lot to us. Thank you for choosing Namshi. We look forward to serving you for many years to come!', 'modified': '2020-10-01T07:27:14Z'}",5,Awesome app with super offers,False
187,❤️,احلا الالعاب بي حياتي,2018-07-28 16:44:21,"{'id': 4444084, 'body': 'Appreciate your kind words ❤️❤️❤️', 'modified': '2018-07-30T00:32:27Z'}",5,Such an amazing application and I love u❤️❤️❤️,False
188,Bar service,esraa.s,2021-07-12 00:50:40,"{'id': 23900460, 'body': 'Hello, We are so sorry to hear that, Kindly feel free to email us at (care@namshi.com) on so we can check and assist you in the best way.', 'modified': '2021-07-13T09:09:44Z'}",1,Worst service ever and they send the wrong orders.,False
189,Missy,Leema z,2019-12-02 20:25:23,"{'id': 12467671, 'body': 'Hello,  We are really sorry you feel this way. Please tell us more about your experience at https://bit.ly/2ICETmY, and we will help you in the best possible manner. Thanks. ', 'modified': '2019-12-18T13:14:20Z'}",2,Ungrateful the products especially the shoes and garments are not as I expected!,False
190,Awesome STORE,casaJoker,2021-01-14 04:18:45,"{'id': 20440886, 'body': 'Hello! We are so obliged by your 5-star review. Thanks for sharing your rating with us and the community.', 'modified': '2021-01-16T09:24:59Z'}",5,Too goog Do fast,False
191,.,.12.12.23.324,2018-06-21 23:52:38,"{'id': 3948937, 'body': 'Hello there, we regret to inform you global/international shipping is not available yet through Namshi application. However, we advise you to use Namshi.com through Google Chrome browser. Thank you', 'modified': '2018-06-23T14:36:45Z'}",4,Please make the shipping international,False
192,more products,Jamila954,2020-01-15 21:53:12,"{'id': 12948057, 'body': 'Hello, We’re sorry we can’t confirm if or when this size will be back in stock, however, we would recommend you click on the "" notify me"" option available underneath sizes of the product page.', 'modified': '2020-01-16T09:23:20Z'}",3,more products,False
193,NAMSHI is the best,taleenali,2017-11-13 17:12:00,,5,It’s the best and I really like it,False
194,About namshi,abood_rayash,2018-08-27 20:12:03,"{'id': 5004978, 'body': 'Thanks :)', 'modified': '2018-09-10T23:01:45Z'}",5,U r great,False
195,B1G1,SamAlrasheedy,2019-08-02 14:14:30,"{'id': 9987047, 'body': 'Hey, please check the terms and conditions on this promotion: https://bit.ly/2ZAUgjG this is for selected items. Thanks.', 'modified': '2019-08-03T14:18:28Z'}",1,Customers recognize that B1G1 free is not a good sale. Almost of all goods are not adult sizes. Others have 0 discounts,False
196,NAMSHI ❤️,Layla M Q,2019-11-26 08:34:55,,5,Best App for shopping Online.,False
197,alrimal,FAJER HAMOUD,2018-05-11 16:22:20,"{'id': 3455220, 'body': ':) We love you back', 'modified': '2018-05-14T08:19:14Z'}",5,I love namshi so much 💙💙.,False
198,Namshi,Yfgdyrang,2017-11-09 12:25:31,,5,Best application ever,False
199,Woooow,forgeteverything35,2018-09-24 13:32:29,"{'id': 5231559, 'body': ':)', 'modified': '2018-09-25T23:44:59Z'}",5,I’m in love with this app,False
200,NAMSHI,Munirah2427,2022-06-11 15:16:18,"{'id': 30311895, 'body': 'Hi, Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! 💛💛\r\n', 'modified': '2022-06-13T00:10:55Z'}",5,Best shopping app ever 💓,False
201,Namshi,_.lxl7,2019-05-05 23:21:50,,5,This is the best app ever,False
202,Need update,Hasan Abukar,2019-08-04 16:07:43,"{'id': 10013946, 'body': 'Please provide the following information on this link https://bit.ly/2ICETmY to help us\nRelease the application used\n\nType and model of the phone used\r\nRelease the operating system by phone\r\n\rThe language used and the state\n\nThe network used 3G / 4G or wifi\nThanks.', 'modified': '2019-08-05T13:09:49Z'}",1,"Hello 
Sometimes the app glitch so much",False
203,Women,LiamSophia,2018-06-05 17:04:37,"{'id': 3782995, 'body': 'We are glad that you have received your order and we hope you like the items. See you again with a new purchase! :)', 'modified': '2018-06-10T00:46:11Z'}",5,"The dress and pants are so elegant,",False
204,Qatar,Jomensonline,2021-01-14 14:05:41,"{'id': 20452152, 'body': 'Hello! We will be operating soon to Qatar. Stay tuned to our website!', 'modified': '2021-01-17T12:15:31Z'}",5,Add Qatar to the country,False
205,Good,shimaa ghadi,2018-11-22 18:59:37,"{'id': 6536149, 'body': 'Thanks :)', 'modified': '2018-12-24T22:12:06Z'}",5,Very nice,False
206,Perfect,شذا سعيد,2020-03-23 17:07:07,"{'id': 14299578, 'body': 'We love you too! ', 'modified': '2020-03-28T10:14:52Z'}",5,It love,False
207,Best app ever,Lulu_al falasi,2020-06-07 14:45:19,,5,Fastest delivery 👍🏻,False
208,Very good 👍🏻,Mohammed Alfaz,2022-11-29 18:02:27,"{'id': 33462723, 'body': 'Hi, thank you for the awesome rating. We really appreciate it. See you soon 💛💛', 'modified': '2022-12-01T00:40:11Z'}",5,Very good 👍🏻,False
209,Greatful,FAYLANAZI,2020-11-10 23:02:43,"{'id': 19915423, 'body': 'We are so obliged by your 5-star review. Thanks for sharing your rating with us and the community.', 'modified': '2020-12-22T01:44:17Z'}",5,The best ever,False
210,annoying lag,Noor alqassimi,2022-09-18 17:29:19,"{'id': 27866415, 'body': ""Hello, We are extremely sorry about the shopping experience you've had with us , We assure you that this isn't the experience we intend to provide . Can you please contact us on care@namshi.com and will do our best to assist you , Thanks🌹 "", 'modified': '2022-09-18T17:29:20Z'}",1,fix the wishlist lagging,True
211,Good,MAB_OOO,2021-05-16 03:25:18,"{'id': 22850782, 'body': 'We are so obliged by your 5-star review. Thanks for sharing your rating with us and the community.', 'modified': '2021-05-17T11:41:15Z'}",5,Great,False
212,NAMSHI,Jobran-1,2021-07-03 22:10:11,"{'id': 23741118, 'body': 'مرحبا ً, نحن سعداء للغاية حيث اننا قد نلنا إعجابكم ونتمنى ان نكون عند حسن ظنك دائما ً.', 'modified': '2021-07-05T06:46:28Z'}",5,The best store,False
213,Good,Raghaaad alharbiiii,2019-06-13 08:17:40,,5,Good job,False
